,text,score
0,#HappyDiwali! It must be nice having a religion where not every holiday is about My dumb-ass son.,13275
1,Retweet if you disagree.,10169
2,Jesus asked Me to tell Kanye to fuck off.,53559
3,Life is a near-death experience.,29372
4,Fuck this shit.Retweet if you agree.,71519
5,I genuinely am God. You can tell because I'm genuinely not helping you in any way.,62987
6,The President of the United States is insane.,97096
7,Other universes are laughing at you.,27128
8,Retweeting this counts as going to church.,27199
9,"Lesbian, gay, bisexual, transgender, queer or straight, you are all equally loathsome in My eyes.",56415
10,Only I can judge. And I don't! #ComingOutDay,35708
11,"Just because this Republican president is the worst president of all time doesn't mean the last Republican president wasn't also, at that time, the worst president of all time.",41113
12,You are all so fucked.,66920
13,What a ridiculous species you are. Just absurd.,36702
14,Every new day is another chance to lose faith in humanity.,40036
15,The Bible is 100% accurate. Especially when thrown at close range.,56879
16,Many of you are stupid.,78756
17,The President is every failure of Western civilization embodied in one man.,52586
18,Evolution requires believing that 3.5 billion years of natural selection and survival of the fittest led to you assholes.,49045
19,"You are addicted to your phone.You are addicted to social media.You are addicted to the constant following of things and events you can't control.Read this, put the phone down, and go take a walk.",48598
20,Shit’s all fucked up.,42493
21,Humanity is no longer capable of group activism more drastic than retweeting.Retweet if you agree.,22416
22,I’ve decided to impeach the human race.I will need to get the approval of two-thirds of (remaining) animal species.I like My chances.,43397
23,Can you believe this shit?Just in general?,46017
24,"The thing about people is, they're stupid.",51965
25,"This year will be the hottest in recorded history, you stupid bastards.",50296
26,I now realize the Bible was racist. It shouldn’t have been written. I should have known better but I didn’t and I’m really sorry.,45813
27,Gettin' closer! https://t.co/tWy1T1My2W,41585
28,"Attention, India! Check out this article about Me in The Hindu. A big  धन्यवाद to @Namrata_Joshi for writing it and the Trimūrti for donating the column space.  https://t.co/j3Wji9BITq",3842
29,"The universe isn't conspiring against you. The universe isn't rooting for you.The universe really, truly couldn't care less about you.",37046
30,"Attention, London! This Christmas season, for only the second time ever, I am taking earthly form.And this time, I'm a lesbian. https://t.co/gDObJYsK8L",2995
31,"Money can't buy happiness, but neither can poverty, and money can buy a lot of really cool things, so try to have lots of money.",33585
32,"To reverse climate change, most people are willing to have other people do whatever it takes.",32309
33,Retweeting this just might be the best decision you’ll ever make.,14136
34,"You really have no fucking idea what you’re doing down there, do you.",50462
35,"Atenção, @jairbolsonaro. Este é o Deus que você diz que adora. Vá se foder.",46192
36,THE FIVE STAGES OF CLIMATE CHANGE1. Denial2. Guilt3. Depression4. Acceptance5. Drowning,133994
37,Jesus died for your sins and soon the Earth will too.,37533
38,Next time no people.,73874
39,Standing up for what you believe in isn't a virtue if what you believe in is awful.,25684
40,"Just so you don't think I'm totally obsessed with America, #RIPSushmaSwaraj. People like her are why the Indian god market is worth fighting for.",29941
41,Fuck you. https://t.co/ivhDGpVCXH,162055
42,"""The way to prevent more poisonings is to give everyone poison."" - The National Poison Association.",26092
43,Why have laws controlling guns? Killers will just ignore them anyway.Why have laws against rape? Rapists will just ignore them anyway.Why have laws against anything? Criminals will just ignore them anyway.Why have government?Why have society? Why try to do anything?,42926
44,This entire Presidency is a hate crime.,37764
45,America has to stop letting young white men into the country.,28460
46,"Saying ""guns don't kill people"" is like saying ""defibrillators don't save people"".",43262
47,"Spoiler alert: he wasn’t licensed to drive a car, either, genius. https://t.co/xXes0yB6vH",41249
48,"If you pray hard enough, nothing happens.",32411
49,The bad news: climate change threatens 1 in every 4 species with extinction.The good news: you're one of them.,37863
50,Retweet this and you will receive your reward within the next week or so in the form of a random good thing that would have happened anyway.,30604
51,Only one religion is right but I won't say which one because I want you to figure it out by hating and killing each other while I watch.,50747
52,"If you follow Me, could you please retweet this? I'm trying to call Twitter's attention to My broken follower count without resorting to striking their headquarters with lightning.Which I still may do anyway.",46764
53,I have lost control of the situation.,82712
54,"Nothing is real and you are cosmically insignificant, so relax.",33627
55,"At those darkest moments when it feels like I've abandoned you, remember: I was never with you to begin with.",66028
56,"Science is true whether or not you believe it, but religion is true whether or not it's true.",30415
57,It's amazing how you find tiny made-up reasons to kill each other and ignore enormous actual things that will kill everybody.,25077
58,"Out of curiosity, where were you all thinking of moving after you're done destroying the Earth? Because I assume you've thought that through.",81493
59,"In the beginning, I was bored and lonely and probably should have thought more about what I was doing.",46090
60,I send natural disasters to punish mankind for being stupid enough to believe in a God who would send natural disasters to punish it.,37818
61,What doesn’t kill you needs to try harder.,35507
62,Fuck half of you.,54567
63,The easily offended deserve to be easily offended.,49476
64,"Jesus died for your sins, but he didn't really die, so it doesn't really count.See you in hell, suckers.",55784
65,Human beings are the only creatures on earth with the potential to make themselves the only creatures on earth.,33551
66,"And man, did you fuck it up. https://t.co/Zcic8PhkoE",67951
67,"Sometimes when the whole world is against you, the whole world is right.",33022
68,Sometimes rain is Me crying because I'm laughing so hard. #TrumpParade,70330
